Latitude_Degrees;Longitude_Degrees;Ocean_Name;Ecoregion_Name;Distance_to_Shore;Exposure;Turbidity;Cyclone_Frequency;Date_Year;Percent_Bleaching;Temperature_Kelvin;Temperature_Mean
0.8;-176.6;Pacific;Phoenix Islands central Kiribati;1411.89;Exposed;0.0445;47.12;2010;52;301.68;301.3
-8.366;116.076;Pacific;Lesser Sunda Islands and Savu Sea;301.9;Exposed;0.0849;47.39;2010;55;301.95;301.71
-8.353;116.027;Pacific;Lesser Sunda Islands and Savu Sea;194.45;Exposed;0.0442;47.39;2010;55;301.95;301.61
-8.344;116.061;Pacific;Lesser Sunda Islands and Savu Sea;51.85;Exposed;0.0849;47.39;2010;55;301.95;301.59
12.081;92.96;Indian;Andaman Islands;66.98;Sheltered;0.0531;41.23;2010;56.45;304.84;301.68
-4.6922;39.4094;Indian;Kenya and Tanzania coast;774.69;Sheltered;0.0694;42.48;2010;58;302.37;300.18
10.627;103.313;Pacific;Gulf of Thailand;180.45;Sheltered;0.1265;49.88;2010;60;304.69;302.23
-8.122;114.605;Indian;Lesser Sunda Islands and Savu Sea;1013.58;Sheltered;0.0444;48.78;2010;60;304.02;302.05
7.4;99.2167;Indian;Andaman Sea;136.06;Sheltered;0.1136;48.32;2010;60;305.28;302.66
24.3655;54.1008;Arabian Gulf;Persian Gulf;1325.71;Sheltered;0.1752;45.90;2011;60;307.01;300.76
0.1833;-176.4667;Pacific;Phoenix Islands central Kiribati;1038.72;Exposed;0.0446;47.11;2010;61;302.67;301.29
10.85;72.1833;Indian;Lakshadweep Islands;587.84;Sheltered;0.0488;39.13;2010;64;302.26;301.59
-5.368;123.548;Pacific;Banda Sea and Molucca Islands;885.57;Sheltered;0.0477;49.82;2010;65;303.08;301.61
10.85;72.1833;Indian;Lakshadweep Islands;587.84;Sheltered;0.0488;39.13;2010;66;302.26;301.59
-4.7167;39.3667;Indian;Kenya and Tanzania coast;4508.37;Sheltered;0.0753;42.48;2010;66;302.57;300.23
10.85;72.1833;Indian;Lakshadweep Islands;587.84;Sheltered;0.0488;39.13;2010;67;302.26;301.59
12.228;93.025;Indian;Andaman Islands;608.66;Sheltered;0.0584;41.21;2010;67.28;305.2;301.64
10.85;72.1833;Indian;Lakshadweep Islands;587.84;Sheltered;0.0488;39.13;2010;69;302.26;301.59
12.057;92.961;Indian;Andaman Islands;977.35;Sheltered;0.0523;41.23;2010;69.49;306.52;301.74
10.679;103.298;Pacific;Gulf of Thailand;90.12;Sheltered;0.1214;49.94;2010;70;303.75;302.28
8.5892;98.2288;Indian;Andaman Sea;950.71;Sheltered;0.0685;47.83;2010;70;304.98;302.41
0.8;-176.6;Pacific;Phoenix Islands central Kiribati;1411.89;Exposed;0.0445;47.12;2010;70;301.68;301.3
-4.6667;39.2833;Indian;Kenya and Tanzania coast;662.47;Sheltered;0.1509;42.48;2010;73;302.87;300.42
10.85;72.1833;Indian;Lakshadweep Islands;587.84;Sheltered;0.0488;39.13;2010;75;302.26;301.59
10.3833;99.2833;Pacific;Gulf of Thailand;27.65;Sheltered;0.0854;48.72;2010;75;305.61;302.03
24.701;-80.967;Atlantic;Bahamas and Florida Keys;4408.69;Sometimes;0.1358;61.18;2011;75;303.83;299.86
10.85;72.1833;Indian;Lakshadweep Islands;587.84;Sheltered;0.0488;39.13;2010;79;302.26;301.59
10.756;103.262;Pacific;Gulf of Thailand;613.17;Sheltered;0.1117;49.97;2010;80;304.93;302.43
10.758;103.264;Pacific;Gulf of Thailand;875.93;Sheltered;0.1117;49.97;2010;80;304.93;302.43
10.627;103.296;Pacific;Gulf of Thailand;111.11;Sheltered;0.1265;49.88;2010;80;305.98;302.23
10.707;103.299;Pacific;Gulf of Thailand;660.61;Sheltered;0.1214;49.94;2010;80;303.77;302.37
5.887;95.313;Indian;Strait of Malacca;20.16;Sheltered;0.0508;46.35;2010;80;304.79;302.28
24.5986;54.4319;Arabian Gulf;Persian Gulf;4323.93;Sheltered;0.1606;45.96;2011;80;306.91;300.82
10.6247;103.2906;Pacific;Gulf of Thailand;299.32;Sheltered;0.0888;49.88;2010;82;304.69;302.23
10.85;72.1833;Indian;Lakshadweep Islands;587.84;Sheltered;0.0488;39.13;2010;82;302.26;301.59
10.85;72.1833;Indian;Lakshadweep Islands;587.84;Sheltered;0.0488;39.13;2010;85;302.26;301.59
2.22;104.07;Pacific;Sunda Shelf south-east Asia;211.31;Sometimes;0.0988;48.82;2010;85;303.41;301.83
2.29;104.12;Pacific;Sunda Shelf south-east Asia;174.25;Sheltered;0.1068;48.95;2010;85;303.22;301.75
2.79;104.17;Pacific;Sunda Shelf south-east Asia;139.22;Exposed;0.0542;49.56;2010;85;302.15;301.77
6.921;99.6996;Indian;Andaman Sea;765.56;Sheltered;0.2744;48.55;2010;85;305.58;302.93
7.3167;99.25;Indian;Andaman Sea;200.44;Exposed;0.0936;48.40;2010;85;305.75;302.78
10.638;103.304;Pacific;Gulf of Thailand;167;Sheltered;0.1265;49.88;2010;90;305.98;302.23
10.671;103.292;Pacific;Gulf of Thailand;64.24;Sheltered;0.1214;49.94;2010;90;304.95;302.28
11.335;-74.076;Atlantic;Netherlands Antilles and south Caribbean;506.31;Exposed;0.0881;52.97;2010;90;302.34;299.71
-0.836;120.199;Pacific;Gulf of Tomini Indonesia;886.55;Sheltered;0.0490;52.80;2010;90;303.57;303.08
6.5333;99.1833;Indian;Andaman Sea;753.83;Sheltered;0.1084;48.33;2010;90;304.44;302.82
6.85;99.5667;Indian;Andaman Sea;2822.55;Sheltered;0.1459;48.49;2010;90;305.49;302.85
10.6247;103.2906;Pacific;Gulf of Thailand;299.32;Sheltered;0.0888;49.88;2010;95;305.98;302.23
7.7833;98.7667;Indian;Andaman Sea;538.29;Sheltered;0.0755;48.23;2010;95;305.48;302.56
8.1065;98.2995;Indian;Andaman Sea;202.18;Sometimes;0.0735;47.86;2010;97;305.85;302.25
11.491;92.711;Indian;Andaman Islands;275.51;Sheltered;0.0458;43.67;2010;75;303.16;301.63
11.706;92.754;Indian;Andaman Islands;218.25;Sometimes;0.0462;43.74;2010;75;303.61;301.67
11.54;92.584;Indian;Andaman Islands;190.82;Sheltered;0.08;43.80;2010;75;302.19;301.66
12;92.927;Indian;Andaman Islands;182.7;Sheltered;0.0511;42.89;2010;75;307.2;301.78
-4.96;119.28;Pacific;Makassar Strait Indonesia;1069.52;Sheltered;0.0707;50.49;2010;75;303.51;302.23
-4.972;119.284;Pacific;Makassar Strait Indonesia;458.48;Sheltered;0.0707;50.49;2010;75;303.51;302.23
-8.753;115.161;Indian;Lesser Sunda Islands and Savu Sea;210.91;Sometimes;0.0728;35.92;2010;75;300.73;300.48
-8.092;114.417;Pacific;Lesser Sunda Islands and Savu Sea;140.16;Sheltered;0.0465;48.78;2010;75;303.04;301.87
24.3669;124.0034;Pacific;South Ryukyu Islands Japan;248.75;Sheltered;0.0624;65.58;2016;75;301.3;298.85
24.4548;124.1098;Pacific;South Ryukyu Islands Japan;810.55;Sheltered;0.0422;50.23;2016;75;302.17;298.93
24.4826;124.1254;Pacific;South Ryukyu Islands Japan;372.3;Sometimes;0.0417;50.23;2016;75;301.4;298.92
24.4837;124.1232;Pacific;South Ryukyu Islands Japan;368.81;Sometimes;0.0506;50.23;2016;75;300.78;298.92
30.4577;130.4888;Pacific;South-east Kyushu Japan;26.81;Exposed;0.0445;66.97;2016;75;302.04;296.76
30.4579;130.4889;Pacific;South-east Kyushu Japan;33.4;Exposed;0.0445;66.97;2013;75;302.82;296.76
30.4581;130.4889;Pacific;South-east Kyushu Japan;33.03;Exposed;0.0445;66.97;2016;75;302.04;296.76
